alpha,time,generated,suboptimality,optimal
0.05,0.05361902713775635,26935.0,-0.9057492931196984,1.0
0.1,0.05280767679214478,26935.0,-0.9057492931196984,1.0
0.25,0.053107887506484985,26935.0,-0.9057492931196984,1.0
0.5,0.05222325325012207,26935.0,-0.9057492931196984,1.0
0.75,0.05274954438209534,26935.0,-0.9057492931196984,1.0
0.9,0.05368775129318237,26935.0,-0.9057492931196984,1.0
0.95,0.05321371555328369,26935.0,-0.9057492931196984,1.0
MD,0.05208147764205932,26935.0,-0.9057492931196984,1.0
N/A,0.05301992297172546,26935.0,-0.905749288407163,1.0
